"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
5,"AC_168","AC_159","2022-AC-159-G1-005-1",5,1,1,0,0
5,"AC_186","AC_048","2022-AC-048-G1-005-2",4,1,20,20,30
5,"AC_097","AC_064","2022-AC-064-G1-005-8",6,1,18,17,33
5,"AC_160","AC_186","2022-AC-186-G1-005-6",8,1,6,5,9
5,"AC_207","AC_082","2022-AC-082-G1-005-6",7,1,5,4,10
5,"AC_068","AC_089","2022-AC-089-G1-005-6",3,1,3,3,2
5,"AC_103","AC_201","2022-AC-201-G1-005-2",3,1,4,4,7
5,"AC_015","AC_097","2022-AC-097-G1-005-9",6,1,13,12,27
5,"AC_161","AC_213","2022-AC-213-G1-005-4",6,1,13,12,12
5,"AC_096","AC_128","2022-AC-128-G1-005-1",4,1,14,11,27
5,"AC_064","AC_017","2022-AC-017-G1-005-3",6,1,5,4,10
5,"AC_002","AC_122","2022-AC-122-G1-005-6",6,1,5,1,0
5,"AC_094","AC_217","2022-AC-217-G1-005-2",7,1,29,26,86
5,"AC_007","AC_147","2022-AC-147-G1-005-7",6,1,20,18,71
5,"AC_052","AC_212","2022-AC-212-G1-005-9",4,1,2,1,0
5,"AC_064","AC_086","2022-AC-086-G1-005-4",5,1,3,3,7
5,"AC_045","AC_123","2022-AC-123-G1-005-10",7,1,5,3,13
5,"AC_107","AC_172","2022-AC-172-G1-005-7",7,1,20,16,26
5,"AC_150","AC_200","2022-AC-200-G1-005-6",5,1,8,7,15
